1001,Andhik Ampuh Yunanto,andhik@mail.com,andhik,2
1002,Mike Yuliana,mike@mail.com,mike,1
1003,Mohammad Zikky,zikky@mail.com,zikky,1
1004,Mohamad Nasyir Tamara,nasyir@mail.com,nasyir,1
1005,Farid Dwi Murdianto,farid@mail.com,farid,1
1006,Maretha Ruswiansari,maretha@mail.com,maretha,1
1007,Hero Yudo Martono,hero@mail.com,hero,1
1008,Fadilah Fahrul Hardiansyah,fadilah@mail.com,fadilah,1
1009,Iwan Syarif,iwan@mail.com,iwan,1
1010,Bima Sena Bayu Dewantara,bima@mail.com,bima,1
1011,Ida Anisah,ida@mail.com,ida,1
1012,Reesa Akbar,reesa@mail.com,reesa,1
1013,Joke Pratilastiarso,joke@mail.com,joke,1
1014,Fardani Annisa Damastuti,fardani@mail.com,fardani,1
1015,Muhammad Agus Zainuddin,agus@mail.com,agus,1
1016,Arna Fariza,arna@mail.com,arna,1
1017,Desy Intan Permatasari,desy@mail.com,desy,1
1018,Entin Martiana,entin@mail.com,entin,1
1019,admin,admin@admin.com,admin,2
